0,1,2,3
0,1,3,4
0,1,4,5
0,1,5,6
0,1,6,7
0,1,7,8
0,1,8,9
0,1,9,10
0,1,10,11
0,1,11,12
0,1,12,13
0,1,13,14
0,1,14,15
0,1,15,16
0,1,16,17
0,1,17,18
0,1,18,19
0,1,19,20
0,1,20,21
0,1,21,22
0,1,22,23
0,1,23,24
0,1,24,25
0,1,25,26
0,1,26,27
0,1,27,28
0,1,28,29
0,1,29,30
0,1,30,31
1,2,3,4
1,2,4,5
1,2,5,6
1,2,6,7
1,2,7,8
1,2,8,9
1,2,9,10
1,2,10,11
1,2,11,12
1,2,12,13
1,2,13,14
1,2,14,15
1,2,15,16
1,2,16,17
1,2,17,18
1,2,18,19
1,2,19,20
1,2,20,21
1,2,21,22
1,2,22,23
1,2,23,24
1,2,24,25
1,2,25,26
1,2,26,27
1,2,27,28
1,2,28,29
1,2,29,30
1,2,30,31
1,2,31,0
2,3,0,1
2,3,4,5
2,3,5,6
2,3,6,7
2,3,7,8
2,3,8,9
2,3,9,10
2,3,10,11
2,3,11,12
2,3,12,13
2,3,13,14
2,3,14,15
2,3,15,16
2,3,16,17
2,3,17,18
2,3,18,19
2,3,19,20
2,3,20,21
2,3,21,22
2,3,22,23
2,3,23,24
2,3,24,25
2,3,25,26
2,3,26,27
2,3,27,28
2,3,28,29
2,3,29,30
2,3,30,31
2,3,31,0
3,4,0,1
3,4,1,2
3,4,5,6
3,4,6,7
3,4,7,8
3,4,8,9
3,4,9,10
3,4,10,11
3,4,11,12
3,4,12,13
3,4,13,14
3,4,14,15
3,4,15,16
3,4,16,17
3,4,17,18
3,4,18,19
3,4,19,20
3,4,20,21
3,4,21,22
3,4,22,23
3,4,23,24
3,4,24,25
3,4,25,26
3,4,26,27
3,4,27,28
3,4,28,29
3,4,29,30
3,4,30,31
3,4,31,0
4,5,0,1
4,5,1,2
4,5,2,3
4,5,6,7
4,5,7,8
4,5,8,9
4,5,9,10
4,5,10,11
4,5,11,12
4,5,12,13
4,5,13,14
4,5,14,15
4,5,15,16
4,5,16,17
4,5,17,18
4,5,18,19
4,5,19,20
4,5,20,21
4,5,21,22
4,5,22,23
4,5,23,24
4,5,24,25
4,5,25,26
4,5,26,27
4,5,27,28
4,5,28,29
4,5,29,30
4,5,30,31
4,5,31,0
5,6,0,1
5,6,1,2
5,6,2,3
5,6,3,4
5,6,7,8
5,6,8,9
5,6,9,10
5,6,10,11
5,6,11,12
5,6,12,13
5,6,13,14
5,6,14,15
5,6,15,16
5,6,16,17
5,6,17,18
5,6,18,19
5,6,19,20
5,6,20,21
5,6,21,22
5,6,22,23
5,6,23,24
5,6,24,25
5,6,25,26
5,6,26,27
5,6,27,28
5,6,28,29
5,6,29,30
5,6,30,31
5,6,31,0
6,7,0,1
6,7,1,2
6,7,2,3
6,7,3,4
6,7,4,5
6,7,8,9
6,7,9,10
6,7,10,11
6,7,11,12
6,7,12,13
6,7,13,14
6,7,14,15
6,7,15,16
6,7,16,17
6,7,17,18
6,7,18,19
6,7,19,20
6,7,20,21
6,7,21,22
6,7,22,23
6,7,23,24
6,7,24,25
6,7,25,26
6,7,26,27
6,7,27,28
6,7,28,29
6,7,29,30
6,7,30,31
6,7,31,0
7,8,0,1
7,8,1,2
7,8,2,3
7,8,3,4
7,8,4,5
7,8,5,6
7,8,9,10
7,8,10,11
7,8,11,12
7,8,12,13
7,8,13,14
7,8,14,15
7,8,15,16
7,8,16,17
7,8,17,18
7,8,18,19
7,8,19,20
7,8,20,21
7,8,21,22
7,8,22,23
7,8,23,24
7,8,24,25
7,8,25,26
7,8,26,27
7,8,27,28
7,8,28,29
7,8,29,30
7,8,30,31
7,8,31,0
8,9,0,1
8,9,1,2
8,9,2,3
8,9,3,4
8,9,4,5
8,9,5,6
8,9,6,7
8,9,10,11
8,9,11,12
8,9,12,13
8,9,13,14
8,9,14,15
8,9,15,16
8,9,16,17
8,9,17,18
8,9,18,19
8,9,19,20
8,9,20,21
8,9,21,22
8,9,22,23
8,9,23,24
8,9,24,25
8,9,25,26
8,9,26,27
8,9,27,28
8,9,28,29
8,9,29,30
8,9,30,31
8,9,31,0
9,10,0,1
9,10,1,2
9,10,2,3
9,10,3,4
9,10,4,5
9,10,5,6
9,10,6,7
9,10,7,8
9,10,11,12
9,10,12,13
9,10,13,14
9,10,14,15
9,10,15,16
9,10,16,17
9,10,17,18
9,10,18,19
9,10,19,20
9,10,20,21
9,10,21,22
9,10,22,23
9,10,23,24
9,10,24,25
9,10,25,26
9,10,26,27
9,10,27,28
9,10,28,29
9,10,29,30
9,10,30,31
9,10,31,0
10,11,0,1
10,11,1,2
10,11,2,3
10,11,3,4
10,11,4,5
10,11,5,6
10,11,6,7
10,11,7,8
10,11,8,9
10,11,12,13
10,11,13,14
10,11,14,15
10,11,15,16
10,11,16,17
10,11,17,18
10,11,18,19
10,11,19,20
10,11,20,21
10,11,21,22
10,11,22,23
10,11,23,24
10,11,24,25
10,11,25,26
10,11,26,27
10,11,27,28
10,11,28,29
10,11,29,30
10,11,30,31
10,11,31,0
11,12,0,1
11,12,1,2
11,12,2,3
11,12,3,4
11,12,4,5
11,12,5,6
11,12,6,7
11,12,7,8
11,12,8,9
11,12,9,10
11,12,13,14
11,12,14,15
11,12,15,16
11,12,16,17
11,12,17,18
11,12,18,19
11,12,19,20
11,12,20,21
11,12,21,22
11,12,22,23
11,12,23,24
11,12,24,25
11,12,25,26
11,12,26,27
11,12,27,28
11,12,28,29
11,12,29,30
11,12,30,31
11,12,31,0
12,13,0,1
12,13,1,2
12,13,2,3
12,13,3,4
12,13,4,5
12,13,5,6
12,13,6,7
12,13,7,8
12,13,8,9
12,13,9,10
12,13,10,11
12,13,14,15
12,13,15,16
12,13,16,17
12,13,17,18
12,13,18,19
12,13,19,20
12,13,20,21
12,13,21,22
12,13,22,23
12,13,23,24
12,13,24,25
12,13,25,26
12,13,26,27
12,13,27,28
12,13,28,29
12,13,29,30
12,13,30,31
12,13,31,0
13,14,0,1
13,14,1,2
13,14,2,3
13,14,3,4
13,14,4,5
13,14,5,6
13,14,6,7
13,14,7,8
13,14,8,9
13,14,9,10
13,14,10,11
13,14,11,12
13,14,15,16
13,14,16,17
13,14,17,18
13,14,18,19
13,14,19,20
13,14,20,21
13,14,21,22
13,14,22,23
13,14,23,24
13,14,24,25
13,14,25,26
13,14,26,27
13,14,27,28
13,14,28,29
13,14,29,30
13,14,30,31
13,14,31,0
14,15,0,1
14,15,1,2
14,15,2,3
14,15,3,4
14,15,4,5
14,15,5,6
14,15,6,7
14,15,7,8
14,15,8,9
14,15,9,10
14,15,10,11
14,15,11,12
14,15,12,13
14,15,16,17
14,15,17,18
14,15,18,19
14,15,19,20
14,15,20,21
14,15,21,22
14,15,22,23
14,15,23,24
14,15,24,25
14,15,25,26
14,15,26,27
14,15,27,28
14,15,28,29
14,15,29,30
14,15,30,31
14,15,31,0
15,16,0,1
15,16,1,2
15,16,2,3
15,16,3,4
15,16,4,5
15,16,5,6
15,16,6,7
15,16,7,8
15,16,8,9
15,16,9,10
15,16,10,11
15,16,11,12
15,16,12,13
15,16,13,14
15,16,17,18
15,16,18,19
15,16,19,20
15,16,20,21
15,16,21,22
15,16,22,23
15,16,23,24
15,16,24,25
15,16,25,26
15,16,26,27
15,16,27,28
15,16,28,29
15,16,29,30
15,16,30,31
15,16,31,0
16,17,0,1
16,17,1,2
16,17,2,3
16,17,3,4
16,17,4,5
16,17,5,6
16,17,6,7
16,17,7,8
16,17,8,9
16,17,9,10
16,17,10,11
16,17,11,12
16,17,12,13
16,17,13,14
16,17,14,15
16,17,18,19
16,17,19,20
16,17,20,21
16,17,21,22
16,17,22,23
16,17,23,24
16,17,24,25
16,17,25,26
16,17,26,27
16,17,27,28
16,17,28,29
16,17,29,30
16,17,30,31
16,17,31,0
17,18,0,1
17,18,1,2
17,18,2,3
17,18,3,4
17,18,4,5
17,18,5,6
17,18,6,7
17,18,7,8
17,18,8,9
17,18,9,10
17,18,10,11
17,18,11,12
17,18,12,13
17,18,13,14
17,18,14,15
17,18,15,16
17,18,19,20
17,18,20,21
17,18,21,22
17,18,22,23
17,18,23,24
17,18,24,25
17,18,25,26
17,18,26,27
17,18,27,28
17,18,28,29
17,18,29,30
17,18,30,31
17,18,31,0
18,19,0,1
18,19,1,2
18,19,2,3
18,19,3,4
18,19,4,5
18,19,5,6
18,19,6,7
18,19,7,8
18,19,8,9
18,19,9,10
18,19,10,11
18,19,11,12
18,19,12,13
18,19,13,14
18,19,14,15
18,19,15,16
18,19,16,17
18,19,20,21
18,19,21,22
18,19,22,23
18,19,23,24
18,19,24,25
18,19,25,26
18,19,26,27
18,19,27,28
18,19,28,29
18,19,29,30
18,19,30,31
18,19,31,0
19,20,0,1
19,20,1,2
19,20,2,3
19,20,3,4
19,20,4,5
19,20,5,6
19,20,6,7
19,20,7,8
19,20,8,9
19,20,9,10
19,20,10,11
19,20,11,12
19,20,12,13
19,20,13,14
19,20,14,15
19,20,15,16
19,20,16,17
19,20,17,18
19,20,21,22
19,20,22,23
19,20,23,24
19,20,24,25
19,20,25,26
19,20,26,27
19,20,27,28
19,20,28,29
19,20,29,30
19,20,30,31
19,20,31,0
20,21,0,1
20,21,1,2
20,21,2,3
20,21,3,4
20,21,4,5
20,21,5,6
20,21,6,7
20,21,7,8
20,21,8,9
20,21,9,10
20,21,10,11
20,21,11,12
20,21,12,13
20,21,13,14
20,21,14,15
20,21,15,16
20,21,16,17
20,21,17,18
20,21,18,19
20,21,22,23
20,21,23,24
20,21,24,25
20,21,25,26
20,21,26,27
20,21,27,28
20,21,28,29
20,21,29,30
20,21,30,31
20,21,31,0
21,22,0,1
21,22,1,2
21,22,2,3
21,22,3,4
21,22,4,5
21,22,5,6
21,22,6,7
21,22,7,8
21,22,8,9
21,22,9,10
21,22,10,11
21,22,11,12
21,22,12,13
21,22,13,14
21,22,14,15
21,22,15,16
21,22,16,17
21,22,17,18
21,22,18,19
21,22,19,20
21,22,23,24
21,22,24,25
21,22,25,26
21,22,26,27
21,22,27,28
21,22,28,29
21,22,29,30
21,22,30,31
21,22,31,0
22,23,0,1
22,23,1,2
22,23,2,3
22,23,3,4
22,23,4,5
22,23,5,6
22,23,6,7
22,23,7,8
22,23,8,9
22,23,9,10
22,23,10,11
22,23,11,12
22,23,12,13
22,23,13,14
22,23,14,15
22,23,15,16
22,23,16,17
22,23,17,18
22,23,18,19
22,23,19,20
22,23,20,21
22,23,24,25
22,23,25,26
22,23,26,27
22,23,27,28
22,23,28,29
22,23,29,30
22,23,30,31
22,23,31,0
23,24,0,1
23,24,1,2
23,24,2,3
23,24,3,4
23,24,4,5
23,24,5,6
23,24,6,7
23,24,7,8
23,24,8,9
23,24,9,10
23,24,10,11
23,24,11,12
23,24,12,13
23,24,13,14
23,24,14,15
23,24,15,16
23,24,16,17
23,24,17,18
23,24,18,19
23,24,19,20
23,24,20,21
23,24,21,22
23,24,25,26
23,24,26,27
23,24,27,28
23,24,28,29
23,24,29,30
23,24,30,31
23,24,31,0
24,25,0,1
24,25,1,2
24,25,2,3
24,25,3,4
24,25,4,5
24,25,5,6
24,25,6,7
24,25,7,8
24,25,8,9
24,25,9,10
24,25,10,11
24,25,11,12
24,25,12,13
24,25,13,14
24,25,14,15
24,25,15,16
24,25,16,17
24,25,17,18
24,25,18,19
24,25,19,20
24,25,20,21
24,25,21,22
24,25,22,23
24,25,26,27
24,25,27,28
24,25,28,29
24,25,29,30
24,25,30,31
24,25,31,0
25,26,0,1
25,26,1,2
25,26,2,3
25,26,3,4
25,26,4,5
25,26,5,6
25,26,6,7
25,26,7,8
25,26,8,9
25,26,9,10
25,26,10,11
25,26,11,12
25,26,12,13
25,26,13,14
25,26,14,15
25,26,15,16
25,26,16,17
25,26,17,18
25,26,18,19
25,26,19,20
25,26,20,21
25,26,21,22
25,26,22,23
25,26,23,24
25,26,27,28
25,26,28,29
25,26,29,30
25,26,30,31
25,26,31,0
26,27,0,1
26,27,1,2
26,27,2,3
26,27,3,4
26,27,4,5
26,27,5,6
26,27,6,7
26,27,7,8
26,27,8,9
26,27,9,10
26,27,10,11
26,27,11,12
26,27,12,13
26,27,13,14
26,27,14,15
26,27,15,16
26,27,16,17
26,27,17,18
26,27,18,19
26,27,19,20
26,27,20,21
26,27,21,22
26,27,22,23
26,27,23,24
26,27,24,25
26,27,28,29
26,27,29,30
26,27,30,31
26,27,31,0
27,28,0,1
27,28,1,2
27,28,2,3
27,28,3,4
27,28,4,5
27,28,5,6
27,28,6,7
27,28,7,8
27,28,8,9
27,28,9,10
27,28,10,11
27,28,11,12
27,28,12,13
27,28,13,14
27,28,14,15
27,28,15,16
27,28,16,17
27,28,17,18
27,28,18,19
27,28,19,20
27,28,20,21
27,28,21,22
27,28,22,23
27,28,23,24
27,28,24,25
27,28,25,26
27,28,29,30
27,28,30,31
27,28,31,0
28,29,0,1
28,29,1,2
28,29,2,3
28,29,3,4
28,29,4,5
28,29,5,6
28,29,6,7
28,29,7,8
28,29,8,9
28,29,9,10
28,29,10,11
28,29,11,12
28,29,12,13
28,29,13,14
28,29,14,15
28,29,15,16
28,29,16,17
28,29,17,18
28,29,18,19
28,29,19,20
28,29,20,21
28,29,21,22
28,29,22,23
28,29,23,24
28,29,24,25
28,29,25,26
28,29,26,27
28,29,30,31
28,29,31,0
29,30,0,1
29,30,1,2
29,30,2,3
29,30,3,4
29,30,4,5
29,30,5,6
29,30,6,7
29,30,7,8
29,30,8,9
29,30,9,10
29,30,10,11
29,30,11,12
29,30,12,13
29,30,13,14
29,30,14,15
29,30,15,16
29,30,16,17
29,30,17,18
29,30,18,19
29,30,19,20
29,30,20,21
29,30,21,22
29,30,22,23
29,30,23,24
29,30,24,25
29,30,25,26
29,30,26,27
29,30,27,28
29,30,31,0
30,31,0,1
30,31,1,2
30,31,2,3
30,31,3,4
30,31,4,5
30,31,5,6
30,31,6,7
30,31,7,8
30,31,8,9
30,31,9,10
30,31,10,11
30,31,11,12
30,31,12,13
30,31,13,14
30,31,14,15
30,31,15,16
30,31,16,17
30,31,17,18
30,31,18,19
30,31,19,20
30,31,20,21
30,31,21,22
30,31,22,23
30,31,23,24
30,31,24,25
30,31,25,26
30,31,26,27
30,31,27,28
30,31,28,29
31,0,1,2
31,0,2,3
31,0,3,4
31,0,4,5
31,0,5,6
31,0,6,7
31,0,7,8
31,0,8,9
31,0,9,10
31,0,10,11
31,0,11,12
31,0,12,13
31,0,13,14
31,0,14,15
31,0,15,16
31,0,16,17
31,0,17,18
31,0,18,19
31,0,19,20
31,0,20,21
31,0,21,22
31,0,22,23
31,0,23,24
31,0,24,25
31,0,25,26
31,0,26,27
31,0,27,28
31,0,28,29
31,0,29,30
